kind,lean_keyword,name,page_start,page_end,math_text,lean_context_before,lean_code,declaration_code,abbreviated
definition,structure,ShortComplex,5,5,"One of the main ideas in order to achieve this was to introduce the category of “short complexes”. Instead of using Lean terms like homology f g w, the idea was to introduce a structure ShortComplex C which bundles all this data:",,"structure ShortComplex [HasZeroMorphisms C] where
{X1 X2 X3 : C}
f : X1 −→X2
g : X2 −→X3
zero : f ≫g = 0","structure ShortComplex [HasZeroMorphisms C] where
{X1 X2 X3 : C}
f : X1 −→X2
g : X2 −→X3
zero : f ≫g = 0",False
definition,structure,Splitting,7,7,"2.1.3 A significant advantage of this definition of homology and exactness is that it makes sense in very general categories. For example, if S is a short complex in any preadditive category C, we may introduce the notion of splitting of S:",,"structure Splitting (S : ShortComplex C) where
/−−a retraction of ‵S.f‵ −/
r : S.X2 −→S.X1
/−−a section of ‵S.g‵ −/
s : S.X3 −→S.X2
/−−the condition that ‵r‵ is a retraction of ‵S.f‵ −/
f_r : S.f ≫r = 1 S.X1 := by aesop_cat
/−−the condition that ‵s‵ is a section of ‵S.g‵ −/
s_g : s ≫S.g = 1 S.X3 := by aesop_cat
/−−the compatibility between the given section and retraction −/
id : r ≫S.f + S.g ≫s = 1 S.X2 := by aesop_cat","structure Splitting (S : ShortComplex C) where
/−−a retraction of ‵S.f‵ −/
r : S.X2 −→S.X1
/−−a section of ‵S.g‵ −/
s : S.X3 −→S.X2
/−−the condition that ‵r‵ is a retraction of ‵S.f‵ −/
f_r : S.f ≫r = 1 S.X1 := by aesop_cat
/−−the condition that ‵s‵ is a section of ‵S.g‵ −/
s_g : s ≫S.g = 1 S.X3 := by aesop_cat
/−−the compatibility between the given section and retraction −/
id : r ≫S.f + S.g ≫s = 1 S.X2 := by aesop_cat",False
lemma,lemma,epi_iff_surjective_up_to_refinements,9,9,The key observation is the following lemma which characterizes epimorphisms in any abelian category C:,,"lemma epi_iff_surjective_up_to_refinements (f : X −→Y) :
Epi f ↔∀{|A : C|} (y : A −→Y),
∃(A′ : C) (π : A′ −→A) (_ : Epi π) (x : A′ −→X), π ≫y = x ≫f := ...","lemma epi_iff_surjective_up_to_refinements (f : X −→Y) :
Epi f ↔∀{|A : C|} (y : A −→Y),
∃(A′ : C) (π : A′ −→A) (_ : Epi π) (x : A′ −→X), π ≫y = x ≫f := ...",True
lemma,lemma,ShortComplex.exact_iff_exact_up_to_refinements,10,10,"As the exactness of a short complex X1 f→X2 g→X3 in an abelian category can be rephased by saying that the induced map X1 →ker g is an epimorphism, it is possible to deduce that similarly, exactness is equivalent to “exactness up to refinements”:",,"lemma ShortComplex.exact_iff_exact_up_to_refinements (S : ShortComplex C) :
S.Exact ↔∀{|A : C|} (x2 : A −→S.X2) (_ : x2 ≫S.g = 0),
∃(A′ : C) (π : A′ −→A) (_ : Epi π) (x1 : A′ −→S.X1),
π ≫x2 = x1 ≫S.f := ...","lemma ShortComplex.exact_iff_exact_up_to_refinements (S : ShortComplex C) :
S.Exact ↔∀{|A : C|} (x2 : A −→S.X2) (_ : x2 ≫S.g = 0),
∃(A′ : C) (π : A′ −→A) (_ : Epi π) (x1 : A′ −→S.X1),
π ≫x2 = x1 ≫S.f := ...",True
definition,class,HasLocalization,18,18,3.7.6 I have introduced the following type class HasLocalization.{w} W in order to take into account this universe issue:,"universe w v u
variable {C : Type u} [Category.{v} C]","universe w v u
variable {C : Type u} [Category.{v} C]
class HasLocalization (W : MorphismProperty C) where
/−−the objects of the localized category. −/
{D : Type u}
/−−the category structure. −/
[hD : Category.{w} D]
/−−the localization functor. −/
L : C ⇒D
[hL : L.IsLocalization W]","class HasLocalization (W : MorphismProperty C) where
/−−the objects of the localized category. −/
{D : Type u}
/−−the category structure. −/
[hD : Category.{w} D]
/−−the localization functor. −/
L : C ⇒D
[hL : L.IsLocalization W]",False
definition,abbrev,HasDerivedCategory,18,18,"3.7.7 In the particular case of derived categories, there is an abbreviation:",,"abbrev HasDerivedCategory := MorphismProperty.HasLocalization.{w}
(HomologicalComplex.quasiIso C (ComplexShape.up Z))","abbrev HasDerivedCategory := MorphismProperty.HasLocalization.{w}
(HomologicalComplex.quasiIso C (ComplexShape.up Z))",False
definition,def,CommShift.isoAdd,23,23,"From the data of such isomorphisms for two elements a and b, we may also construct a commutation isomorphism for the shift by a + b:",,"def CommShift.isoAdd {a b : A}
(e1 : shiftFunctor C a ≫F ∼= F ≫shiftFunctor D a)
(e2 : shiftFunctor C b ≫F ∼= F ≫shiftFunctor D b) :
shiftFunctor C (a + b) ≫F ∼= F ≫shiftFunctor D (a + b) :=","def CommShift.isoAdd {a b : A}
(e1 : shiftFunctor C a ≫F ∼= F ≫shiftFunctor D a)
(e2 : shiftFunctor C b ≫F ∼= F ≫shiftFunctor D b) :
shiftFunctor C (a + b) ≫F ∼= F ≫shiftFunctor D (a + b) :=",False
definition,class,CommShift,23,23,"Using these definitions, I have formalized a type class F.CommShift A which expresses that F commutes with the shifts by A as follows:",,"class CommShift where
iso (a : A) : shiftFunctor C a ≫F ∼= F ≫shiftFunctor D a
zero : iso 0 = CommShift.isoZero F A := by aesop_cat
add (a b : A) : iso (a + b) = CommShift.isoAdd (iso a) (iso b) := by aesop_cat","class CommShift where
iso (a : A) : shiftFunctor C a ≫F ∼= F ≫shiftFunctor D a
zero : iso 0 = CommShift.isoZero F A := by aesop_cat
add (a b : A) : iso (a + b) = CommShift.isoAdd (iso a) (iso b) := by aesop_cat",False
definition,def,equivHom,25,25,"4.3.3 Calculus of cochains In order to verify the axioms of triangulated categories for the homotopy category of cochain complexes, it is convenient to introduce the cochain complex of morphisms Hom•(K, L) for two cochain complexes K and L [Con00, p. 10]. It is a cochain complex in the category of abelian groups which in degree n consists of families of morphisms K p →Lq for all (p,q) ∈Z2 such that p + n = q. The differentials on Hom•(K, L) are defined in such a way that an element in Hom0(K, L) is a cocycle if and only if it corresponds to a morphism of cochain complexes K →L. In mathlib, I have implemented this definition as the cochain complex HomComplex K L. However, the more convenient related definitions are the types of cochains HomComplex.Cochain K L n and cocycles HomComplex.Cocycle K L n in this complex. We obtain the expected correspondence between morphisms of cochain complexes and 0- cocycles as:",,"def equivHom : (K −→L) ≃+ Cocycle K L 0 where
...","def equivHom : (K −→L) ≃+ Cocycle K L 0 where
...",True
definition,def,equivHomotopy,25,25,"Similarly, two morphisms of cochain complexes ϕi : K →L for i ∈{1,2} are homotopic if and only if the corresponding cochains are cohomologous:",,"def equivHomotopy (ϕ1 ϕ2 : K −→L) :
Homotopy ϕ1 ϕ2 ≃
{ z : Cochain K L (−1) //
Cochain.ofHom ϕ1 = δ (−1) 0 z + Cochain.ofHom ϕ2 } where
...","def equivHomotopy (ϕ1 ϕ2 : K −→L) :
Homotopy ϕ1 ϕ2 ≃
{ z : Cochain K L (−1) //
Cochain.ofHom ϕ1 = δ (−1) 0 z + Cochain.ofHom ϕ2 } where
...",True
